127.0.0.1 - - [31/Aug/2017:10:42:18 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:09:46 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:10:12 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:10:47 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:10:53 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:14:14 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:14:15 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:19:06 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:20:18 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:20:19 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:20:37 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
